"Kode Aset";"Serial Number";"Kode Item";"Nama Aset";Spesifikasi;"Tanggal Perolehan";"Harga Beli";"Sumber Perolehan";"Kode Unit";"Nama Unit";PIC;Kondisi;Status;"Jenis KIB";"Masa Manfaat (Tahun)";"Nilai Residu";"Akumulasi Penyusutan";"Nilai Buku"
05202040101;SN-05202040101;BRG0720260415;Printer;"Epson L3210";2023-01-01;2450000;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;2450000
111206210201;SN-111206210201;BRG0720260012;Bantal;"Informa Marshmallow";2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
111206210202;SN-111206210202;BRG0720260012;Bantal;"Informa Marshmallow";2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
111201030101;SN-111201030101;BRG0720260249;"Keset Coklat";Informa;2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
111201090001;SN-111201090001;BRG0720260035;Ember;;2023-01-01;35000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;35000
111201100001;SN-111201100001;BRG0720260206;Gayung;;2023-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
112206210201;SN-112206210201;BRG0720260012;Bantal;"Informa Marshmallow";2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
112206210202;SN-112206210202;BRG0720260012;Bantal;"Informa Marshmallow";2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
112201030101;SN-112201030101;BRG0720260249;"Keset Coklat";Informa;2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
112201090001;SN-112201090001;BRG0720260035;Ember;;2023-01-01;35000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;35000
112201100001;SN-112201100001;BRG0720260206;Gayung;;2023-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
113206210201;SN-113206210201;BRG0720260012;Bantal;"Informa Marshmallow";2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
113206210202;SN-113206210202;BRG0720260012;Bantal;"Informa Marshmallow";2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
113201030101;SN-113201030101;BRG0720260249;"Keset Coklat";Informa;2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
113201090001;SN-113201090001;BRG0720260035;Ember;;2023-01-01;35000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;35000
113201100001;SN-113201100001;BRG0720260206;Gayung;;2023-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
114206210201;SN-114206210201;BRG0720260012;Bantal;"Informa Marshmallow";2023-01-01;60000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;60000
